city_id,district_id,name_en,name_si,name_ta,sub_name_en,sub_name_si,sub_name_ta,postcode,latitude,longitude
1,1,Akkaraipattu,අක්කරපත්තුව,அக்கரைப்பற்று, NULL, NULL, NULL,32400,7.2184279,81.8541161
2,1,Ambagahawatta,අඹගහවත්ත,அம்பகஹவத்த, NULL, NULL, NULL,90326,7.3017563,81.6747295
3,1,Ampara,අම්පාර,அம்பாறை, NULL, NULL, NULL,32000,7.3017563,81.6747295
4,1,Bakmitiyawa,බක්මිටියාව,பக்மிடியாவ, NULL, NULL, NULL,32024,7.0296318,81.6802054
5,1,Deegawapiya,දීඝවාපිය,தீகவாபி, NULL, NULL, NULL,32006,7.3017563,81.6747295
6,1,Devalahinda,දෙවලහිඳ,தேவாலஹிந்தா, NULL, NULL, NULL,32038,7.3017563,81.6747295
7,1,Digamadulla Weeragoda,දිගාමඩුල්ල වීරගොඩ,திகாமடுள்ள வீரகொட, NULL, NULL, NULL,32008,7.3901254,81.6965876
8,1,Dorakumbura,දොරකුඹුර,டோரகும்புரா, NULL, NULL, NULL,32104,7.3588697,81.3014284
9,1,Gonagolla,ගොනගොල්ල,கோனாகொல்லா, NULL, NULL, NULL,32064,7.4303735,81.5589252
10,1,Hulannuge,හුලංනුගේ,ஹுலனுகே, NULL, NULL, NULL,32514,6.9284717,81.6546714
11,1,Kalmunai,කල්මුණේ,கல்முனை, NULL, NULL, NULL,32300,7.3956781,81.8333656
12,1,Kannakipuram,කන්නකිපුරම්,கண்ணகிபுரம், NULL, NULL, NULL,32405,7.4935021,81.7957888
13,1,Karativu,කරතිව්,காரைதீவு, NULL, NULL, NULL,32250,7.3770282,81.8415065
14,1,Kekirihena,කැකිරිහේන,கெகிரிஹேன, NULL, NULL, NULL,32074,7.5074545,81.3351284
15,1,Koknahara,කොක්නහර,கோக்னஹாரா, NULL, NULL, NULL,32035,7.2239081,81.5623474
16,1,Kolamanthalawa,කෝලමන්තලාව,கொலமந்தலாவ, NULL, NULL, NULL,32102,7.2942916,81.2794123
17,1,Komari,කෝමාරි,கோமாரி, NULL, NULL, NULL,32418,6.9862603,81.8647787
18,1,Lahugala,ලාහුගල,லாஹுகல, NULL, NULL, NULL,32512,6.8720872,81.7226298
19,1,Irakkamam,ඉරක්කමම්,இறக்காமம், NULL, NULL, NULL,32450,7.2442442,81.7458845
20,1,Mahaoya,මහඔය,மகா ஓயா, NULL, NULL, NULL,32070,7.531216,81.3560952
21,1,Marathamune,මාරත්මුනේ,மருதமுனை, NULL, NULL, NULL,32314,7.3017563,81.6747295
22,1,Namaloya,නාමල්ඔය,நாமல் ஓய, NULL, NULL, NULL,32037,7.3311927,81.5322149
23,1,Navithanveli,නාවිදන්වෙලි,நாவிதன்வெளி, NULL, NULL, NULL,32308,7.4257726,81.7745699
24,1,Nintavur,නින්දවූර්,நிந்தவூர், NULL, NULL, NULL,32340,7.321168,81.8578523
25,1,Oluvil,ඔළුවිල,ஒலுவில், NULL, NULL, NULL,32360,7.2944473,81.8606821
26,1,Padiyatalawa,පදියතලාව,பதியதலாவ, NULL, NULL, NULL,32100,7.3925126,81.2436227
27,1,Pahalalanda,පහලලන්ද,பஹலாலண்ட, NULL, NULL, NULL,32034,7.2226881,81.5898016
28,1,Panama,පානම,பாணம, NULL, NULL, NULL,32508,6.7580589,81.8087721
29,1,Pannalagama,පන්නලගම,பன்னலகம, NULL, NULL, NULL,32022,7.3017563,81.6747295
30,1,Paragahakele,පරගහකැලේ,பரகஹகலே, NULL, NULL, NULL,32031,7.2577705,81.6089873
31,1,Periyaneelavanai,පෙරියනීලවන්නි,பெரியநீலாவணை, NULL, NULL, NULL,32316,7.451606,81.814238
32,1,Polwaga Janapadaya,පොල්වග ජනපදය,போல்வக ஜனபதய, NULL, NULL, NULL,32032,7.243447,81.5569003
33,1,Pottuvil,පොතුවිල්,பொத்துவில், NULL, NULL, NULL,32500,6.8752706,81.8306334
34,1,Sainthamaruthu,සායින්දමරුදු,சாய்ந்தமருது, NULL, NULL, NULL,32280,7.3930492,81.8360977
35,1,Samanthurai,සමන්තුරේ,சம்மாந்துறை, NULL, NULL, NULL,32200,7.3574841,81.7951054
36,1,Serankada,සේරන්කද,சேரன்காடா, NULL, NULL, NULL,32101,7.4567753,81.2787242
37,1,Tempitiya,ටැම්පිටිය,தெம்பிட்டிய, NULL, NULL, NULL,32072,7.6228935,81.3729372
38,1,Thambiluvil,තම්බිලුවිල්,தம்பிலுவில், NULL, NULL, NULL,32415,7.1285122,81.8486164
39,1,Tirukovil,තිරුකෝවිල,திருக்கோவில், NULL, NULL, NULL,32420,7.1153122,81.8524882
40,1,Uhana,උහන,உஹன, NULL, NULL, NULL,32060,7.363036,81.635277
41,1,Wadinagala,වඩිනාගල,வடினாகல, NULL, NULL, NULL,32039,7.1263147,81.5733528
42,1,Wanagamuwa,වනගමුව,வணகமுவ, NULL, NULL, NULL,32454,7.3017563,81.6747295
43,2,Angamuwa,අංගමුව,அங்கமுவா, NULL, NULL, NULL,50248,8.1813311,80.2070328
44,2,Anuradhapura,අනුරාධපුරය,அநுராதபுரம், NULL, NULL, NULL,50000,8.3113518,80.4036508
45,2,Awukana,අව්කන,அவுகனா, NULL, NULL, NULL,50169,8.010142,80.5131156
46,2,Bogahawewa,බෝගහවැව,போகஹவெவ, NULL, NULL, NULL,50566,8.325545,80.2488596
47,2,Dematawewa,දෙමටවැව,தெமடவெவ, NULL, NULL, NULL,50356,8.283333,80.583333
48,2,Dimbulagala,දිඹුලාගල,திம்புலாகல, NULL, NULL, NULL,51031,7.8593413,81.1030573
49,2,Dutuwewa,දුටුවැව,டுடுவெவ, NULL, NULL, NULL,50393,8.6279802,80.8654534
50,2,Elayapattuwa,ඇලයාපත්තුව,எலயபத்துவ, NULL, NULL, NULL,50014,8.3553447,80.3964751
51,2,Ellewewa,ඇල්ලේවැව,எல்லேவெவ, NULL, NULL, NULL,51034,7.780777,81.0782253
52,2,Eppawala,එප්පාවල,எப்பாவெல, NULL, NULL, NULL,50260,8.144095,80.4118721
53,2,Etawatunuwewa,ඇතාවැටුනවැව,எடவதுனுவெவ, NULL, NULL, NULL,50584,8.3113518,80.4036508
54,2,Etaweeragollewa,ඇතාවීරගොලෑව,எடவீரகொல்லேவ, NULL, NULL, NULL,50518,8.6146048,80.5382889
55,2,Galapitagala,ගලපිටගල,கலபிட்டிகல, NULL, NULL, NULL,32066,8.0980899,80.6826254
56,2,Galenbindunuwewa,ගලෙන්බිඳුනුවැව,கலன்பிந்துனுவெவை, NULL, NULL, NULL,50390,8.2921338,80.7172837
57,2,Galkadawala,ගල්කඩවල,கல்கடவல, NULL, NULL, NULL,50006,8.2594462,80.144254
58,2,Galkiriyagama,ගල්කිරියාගම,கல்கிரியாகம, NULL, NULL, NULL,50120,7.9263493,80.5718772
59,2,Galkulama,ගල්කුලම,கல்குலமா, NULL, NULL, NULL,50064,8.3061295,80.4503723
60,2,Galnewa,ගල්නෑව,கல்னேவை, NULL, NULL, NULL,50170,8.0369211,80.4725346
61,2,Gambirigaswewa,ගම්බිරිගස්වැව,கம்பீரிகஸ்வெவ, NULL, NULL, NULL,50057,8.4807571,80.3936994
62,2,Ganewalpola,ගනේවල්පොල,கணேவல்பொல, NULL, NULL, NULL,50142,8.0876104,80.6279175
63,2,Gemunupura,ගැමුණුපුර,கெமுனுபுர, NULL, NULL, NULL,50224,8.1965729,80.1679758
64,2,Getalawa,ගෙතලාව,கெட்டலாவா, NULL, NULL, NULL,50392,8.318262,80.7740608
65,2,Gnanikulama,ඝාණිකුළම,ஞானிகுலம, NULL, NULL, NULL,50036,8.2990166,80.4368245
66,2,Gonahaddenawa,ගෝනහද්දෙනෑව,கோனஹத்தேனாவ, NULL, NULL, NULL,50554,8.3113518,80.4036508
67,2,Habarana,හබරන,ஹபரணை, NULL, NULL, NULL,50150,8.0322147,80.7519272
68,2,Halmillawa Dambulla,හල්මිලෑව දඹුල්ල,ஹல்மில்லாவ தம்புள்ளை, NULL, NULL, NULL,50124,8.1718555,80.7534207
69,2,Halmillawetiya,හල්මිල්ලවැටිය,ஹல்மில்லவெட்டிய, NULL, NULL, NULL,50552,8.7319778,80.6659842
70,2,Hidogama,හිද්දෝගම,ஹிடோகாமா, NULL, NULL, NULL,50044,8.2619434,80.413178
71,2,Horawpatana,හොරොව්පතාන,ஹோரவ்பதானா, NULL, NULL, NULL,50350,8.5569763,80.8312911
72,2,Horiwila,හොරිවිල,ஹோரிவில, NULL, NULL, NULL,50222,7.866667,81.083333
73,2,Hurigaswewa,හුරිගස්වැව,ஹுரிகஸ்வெவ, NULL, NULL, NULL,50176,8.0948635,80.3700407
74,2,Hurulunikawewa,හුරුලුනිකවැව,ஹுருலுனிகாவெவ, NULL, NULL, NULL,50394,8.2708614,80.7591814
75,2,Ihala Puliyankulama,ඉහල පුලියන්කුලම,இஹல புளியங்குளம, NULL, NULL, NULL,61316,8.1520238,80.5632884
76,2,Kagama,කගම,ககம, NULL, NULL, NULL,50282,8.0422633,80.5072321
77,2,Kahatagasdigiliya,කහටගස්දිගිලිය,ககட்டகஸ்திகிலியை, NULL, NULL, NULL,50320,8.425981,80.687253
78,2,Kahatagollewa,කහටගොල්ලෑව,கஹடகொல்லேவ, NULL, NULL, NULL,50562,8.7352357,80.7990185
79,2,Kalakarambewa,කලකරඹෑව,கலகரம்பேவா, NULL, NULL, NULL,50288,8.3113518,80.4036508
80,2,Kalaoya,කලාඔය,கலா ஓய, NULL, NULL, NULL,50226,8.2100191,80.1075439
81,2,Kalawedi Ulpotha,කලාවැදි උල්පොත,கலாவெடி உல்பொத, NULL, NULL, NULL,50556,7.906691,80.375305
82,2,Kallanchiya,කලංචිය,கல்லஞ்சியா, NULL, NULL, NULL,50454,8.4634119,80.5716199
83,2,Kalpitiya,කල්පිටිය,கல்பிட்டி, NULL, NULL, NULL,61360,8.3227405,80.4086119
84,2,Kalukele Badanagala,කළුකැලේ බදනාගල,களுகேலே படனகல, NULL, NULL, NULL,51037,7.7830591,81.058906
85,2,Kapugallawa,කපුගල්ලව,கபுகல்லாவ, NULL, NULL, NULL,50370,8.3113518,80.4036508
86,2,Karagahawewa,කරගහවැව,கரகஹவெவ, NULL, NULL, NULL,50232,8.3369264,80.4154586
87,2,Kashyapapura,කාශ්‍යපපුර,காஷ்யபபுரா, NULL, NULL, NULL,51032,8.3113518,80.4036508
88,2,Kebithigollewa,කැබිතිගොල්ලෑව,கெப்பிட்டிக்கொல்லாவை, NULL, NULL, NULL,50500,8.6411229,80.6696999
89,2,Kekirawa,කැකිරාව,கெக்கிராவ, NULL, NULL, NULL,50100,8.042103,80.593833
90,2,Kendewa,කේන්දෑව,கெண்டேவா, NULL, NULL, NULL,50452,8.4910127,80.6042024
91,2,Kiralogama,කිරළෝගම,கிரலோகம, NULL, NULL, NULL,50259,8.1906287,80.3686488
92,2,Kirigalwewa,කිරිගල්වැව,கிரிகல்வெவ, NULL, NULL, NULL,50511,8.536327,80.5577336
93,2,Kirimundalama,කිරිමුන්ඩලම,கிரிமுண்டலம, NULL, NULL, NULL,61362,8.3113518,80.4036508
94,2,Kitulhitiyawa,කිතුල්හිටියාව,கிதுல்ஹிட்டியாவ, NULL, NULL, NULL,50132,8.3113518,80.4036508
95,2,Kurundankulama,කුරුන්දන්කුලම,குருந்தன்குளம், NULL, NULL, NULL,50062,8.3548567,80.4521216
96,2,Labunoruwa,ලබුනෝරුව,லாபுனோருவா, NULL, NULL, NULL,50088,8.1649851,80.5979973
97,2,Ihalagama,ඉහලගම,இஹலகம, NULL, NULL, NULL,50304,8.3318305,80.4029017
98,2,Ipologama,ඉපොලොගම,இப்பலோகம, NULL, NULL, NULL,50280,8.065027,80.5355107
99,2,Madatugama,මාදතුගම,மடடுகம, NULL, NULL, NULL,50130,7.9458576,80.6271415
100,2,Maha Elagamuwa,මහ ඇලගමුව,மஹா எலகமுவா, NULL, NULL, NULL,50126,7.9914613,80.6188156
101,2,Mahabulankulama,මහබුලංකුලම,மஹாபுலன்குளம, NULL, NULL, NULL,50196,8.3448106,80.3972391
102,2,Mahailluppallama,මහඉලුප්පල්ලම,மகைல்லுப்பல்லம, NULL, NULL, NULL,50270,8.1037364,80.4604643
103,2,Mahakanadarawa,මහකනදරාව,மகாகனதரவ, NULL, NULL, NULL,50306,8.3500293,80.3963687
104,2,Mahapothana,මහපොතාන,மஹாபோதனா, NULL, NULL, NULL,50327,8.3878743,80.7612064
105,2,Mahasenpura,මහසෙන්පුර,மகாசென்புரா, NULL, NULL, NULL,50574,8.8618261,80.8488498
106,2,Mahawilachchiya,මහවිලච්චිය,மஹாவிலச்சியா, NULL, NULL, NULL,50022,8.4707551,80.2098219
107,2,Mailagaswewa,මයිලගස්වැව,மைலகஸ்வெவ, NULL, NULL, NULL,50384,8.2818529,80.6826254
