`id`,`district_id`,name_en,latitude,longitude
1,1,Akkaraipattu,7.2167,81.85
2,1,Ambagahawatta,7.4,81.3
3,1,Ampara,7.2833,81.6667
4,1,Bakmitiyawa,7.026268,81.633832
5,1,Deegawapiya,7.2833,81.6667
6,1,Devalahinda,7.1889,81.5778
7,1,Digamadulla Weeragoda,7.2833,81.6667
8,1,Dorakumbura,7.358849,81.280133
9,1,Gonagolla,7.449853,81.618014
10,1,Hulannuge,7.4,81.3
11,1,Kalmunai,7.413897,81.826718
12,1,Kannakipuram,7.2167,81.85
13,1,Karativu,7.3833,81.8333
14,1,Kekirihena,7.490724,81.310836
15,1,Koknahara,7.184832,81.555806
16,1,Kolamanthalawa,7.351733,81.249913
17,1,Komari,6.976958,81.78883
18,1,Lahugala,7.415566,81.33954
19,1,lmkkamam,7.1125,81.8542
20,1,Mahaoya,7.535248,81.351145
21,1,Marathamune,7.45,81.8167
22,1,Namaloya,7.1889,81.5778
23,1,Navithanveli,7.4333,81.7833
24,1,Nintavur,7.35,81.85
25,1,Oluvil,7.2833,81.85
26,1,Padiyatalawa,7.4,81.2333
27,1,Pahalalanda,7.21752,81.578714
28,1,Panama,6.812201,81.712237
29,1,Pannalagama,7.0667,81.6167
30,1,Paragahakele,7.25669,81.609526
31,1,Periyaneelavanai,7.434002,81.814169
32,1,Polwaga Janapadaya,7.1889,81.5778
33,1,Pottuvil,6.8667,81.8333
34,1,Sainthamaruthu,7.3833,81.8333
35,1,Samanthurai,7.3833,81.8333
36,1,Serankada,7.464517,81.263599
37,1,Tempitiya,7.610374,81.429907
38,1,Thambiluvil,7.132227,81.819074
39,1,Tirukovil,7.1167,81.85
40,1,Uhana,7.363281,81.637746
41,1,Wadinagala,7.127849,81.56922
42,1,Wanagamuwa,7.1125,81.8542
43,2,Angamuwa,8.177645,80.205048
44,2,Anuradhapura,8.35,80.3833
45,2,Awukana,7.9753,80.5266
46,2,Bogahawewa,8.328993,80.251702
47,2,Dematawewa,8.357373,80.870087
48,2,Dimbulagala,7.9167,80.55
49,2,Dutuwewa,8.65,80.5167
50,2,Elayapattuwa,8.413522,80.318148
51,2,Ellewewa,7.9167,80.55
